Order_Id,Order_Date,Ship_Date,Customer_Name,Customer_Id,Customer_Segment,Product_Id,Product_Name,Category,Region,State,City,Quantity,Unit_Price,Discount (%),Sales_Amount,Cost_Price,Profit,Payment_Mode,Delivery_Status,Supplier_Name,Supplier_Email,Stock_left,Auto_recorder,Recorder_Quantity
ord10001,25-09-2024,30-09-2024,Christian Anthony,cust8604,Home Office,prod961,mouse,electronics,North,Minnesota,Rasmussenside,9,4171,25,28154.25,20320.13,7834.12,Creditcard,Returned,"Marshall, Washington and Dominguez",jason71@gilbert.com,36,No,0
ord10002,23-06-2025,29-06-2025,Rachel Whitaker,cust4608,Home Office,prod539,study table,furniture,North,Texas,Gonzalezview,1,8638,25,6478.5,4110.49,2368.01,UPI,Returned,Parker Inc,bridget77@schwartz-harper.com,87,No,0
ord10003,21-09-2024,22-09-2024,James Rodriguez,cust2450,Corporate,prod912,biscuits,grocery,South,Arkansas,Hullbury,7,6630,5,44089.5,34360.64,9728.86,Cash,Pending,Boyd LLC,scontreras@holland.org,26,No,0
ord10004,27-07-2024,29-07-2024,Michael Johnson,cust6585,Home Office,prod171,notebook,office supply,South,Virginia,Burnsville,9,808,5,6908.4,5518.08,1390.32,Creditcard,Pending,"Hunter, Ashley and Russell",fphillips@ingram.com,25,No,0
ord10005,09-11-2024,14-11-2024,Sabrina Chang,cust4740,Home Office,prod957,biscuits,grocery,East,Arizona,Devinfurt,8,9998,25,59988,45124.81,14863.19,Creditcard,Delivered,Lee-Johnson,richard79@mejia.com,1,Yes,88
ord10006,05-01-2026,09-01-2026,Elizabeth Stafford,cust6426,Home Office,prod223,stapler,office supply,West,Maryland,Stanleyview,4,2310,20,7392,6206.77,1185.23,Netbanking,Pending,Harper Group,colleen94@hays.com,81,No,0
ord10007,28-06-2025,30-06-2025,William Ingram,cust3648,Consumer,prod449,mouse,electronics,East,Arizona,Palmerberg,7,3507,25,18411.75,15678.14,2733.61,Netbanking,Delivered,Johnson-Baker,dtaylor@warner-mitchell.com,60,No,0
ord10008,28-04-2025,01-05-2025,Adam Cameron,cust8695,Corporate,prod939,file-folder,office supply,South,Illinois,Ericland,1,1490,25,1117.5,895.16,222.34,Cash,Returned,Esparza-Wolf,wongalexander@williams-nelson.net,39,No,0
ord10009,11-07-2024,17-07-2024,Cassidy Randolph,cust3720,Consumer,prod903,juice-pack,grocery,South,Utah,Whiteshire,1,152,25,114,80.22,33.78,Cash,Cancelled,Brooks Group,vanessacantrell@williams.info,86,No,0
ord10010,14-03-2025,17-03-2025,Jean Paul,cust9944,Home Office,prod546,biscuits,grocery,South,Texas,Hamiltonton,4,3653,25,10959,6587.93,4371.07,UPI,Pending,"Harrell, Fisher and Cole",alishavasquez@martinez.com,30,No,0
ord10011,15-04-2025,22-04-2025,Craig Morgan,cust2003,Home Office,prod699,ricebag,grocery,West,Ohio,West Melissamouth,8,6420,0,51360,36973.96,14386.04,UPI,Pending,Davis-Ward,allison92@griffin.org,92,No,0
ord10012,02-08-2025,04-08-2025,Richard Buchanan,cust9465,Corporate,prod959,stapler,office supply,North,Alaska,Lawsonbury,5,4527,20,18108,12310.9,5797.1,Netbanking,Delivered,"Wolf, Lawson and Joyce",kparks@mendoza.com,52,No,0
ord10013,02-11-2025,07-11-2025,Denise Gonzalez,cust3582,Consumer,prod957,notebook,office supply,North,North Carolina,South Rachaelchester,1,7694,20,6155.2,5383.77,771.43,UPI,Delivered,Joseph-Haynes,ronald26@ballard.com,41,No,0
ord10014,01-02-2026,06-02-2026,Robert Anderson,cust4050,Home Office,prod466,calculator,office supply,South,Rhode Island,Weberport,5,6015,10,27067.5,17504.9,9562.6,Netbanking,Pending,"Meyers, Lee and Blankenship",lnewman@hanna-lopez.info,55,No,0
ord10015,04-12-2024,05-12-2024,Thomas Anderson,cust8559,Home Office,prod435,juice-pack,grocery,West,Kentucky,Nicholasview,6,102,20,489.6,433.9,55.7,Cash,Cancelled,Brown-Chaney,zbennett@lewis.com,11,Yes,70
ord10016,06-05-2025,10-05-2025,Tracey Roach,cust4959,Corporate,prod931,stapler,office supply,East,Wyoming,West John,10,8575,0,85750,54434.58,31315.42,Cash,Pending,Wood-Henry,hebertstephanie@ramirez.com,84,No,0
ord10017,15-03-2024,19-03-2024,Derrick Martin,cust3777,Corporate,prod903,juice-pack,grocery,South,California,Lake Cynthialand,5,5608,0,28040,23170.89,4869.11,Cash,Returned,"Nielsen, Jenkins and Bryant",brookebishop@garcia.com,55,No,0
